node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
100,5.0,"{'mine': 1}",480,200,145,0.72,0.90,35544.50
100,20.0,"{'mine': 2}",4054,2000,2654,1.33,0.85,13492.50
100,20.0,"{'mine': 4}",8153,1600,2049,1.28,1.03,17408.50
100,20.0,"{'mine': 8}",15978,1800,2410,1.34,0.90,15561.28
100,20.0,"{'mine': 16}",31923,1800,2360,1.31,0.92,14546.33
100,20.0,"{'mine': 32}",128185,2000,2838,1.42,0.82,13941.60
100,20.0,"{'mine': 64}",63726,1900,2666,1.40,0.89,14930.00
100,20.0,"{'mine': 128}",255817,2030,2711,1.34,0.84,15092.81


