
node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,all_tests_passed
50,10.0,"{'mine': {'tau': 0.0078125, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.0078125, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",13864,50,200,4.00,0.00,True
50,15.0,"{'mine': {'tau': 0.125, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.125, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",1347,50,200,4.00,0.00,True
50,15.0,"{'mine': {'tau': 0.5, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.5, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",321,100,109,1.09,2.79,True
50,15.0,"{'mine': {'tau': 0.25, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.25, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",678,150,455,3.03,3.13,True
50,10.0,"{'mine': {'tau': 0.03125, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.03125, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",3614,50,200,4.00,0.00,True
50,10.0,"{'mine': {'tau': 0.0625, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.0625, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",1779,50,200,4.00,0.00,True
50,15.0,"{'mine': {'tau': 1.0, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 1.0, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",175,150,104,0.69,2.38,True
50,10.0,"{'mine': {'tau': 0.0078125, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.0078125, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",14199,50,200,4.00,0.00,True
50,10.0,"{'mine': {'tau': 0.015625, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.015625, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",7154,91,282,3.10,1.94,True
50,15.0,"{'mine': {'tau': 0.5, 'tau_domain': 'self._nodes'}, 'retrieve_transaction_from_mempool': {'tau': 0.5, 'tau_domain': 'self._nodes'}, 'prepare_commit': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_externalize_message': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'nominate': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'prepare_ballot': {'tau': 0.01, 'tau_domain': 'self._nodes'}, 'retrieve_message_from_peer': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_prepare_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_commit_message': {'tau': 0.05, 'tau_domain': 'self._nodes'}, 'receive_externalize_msg': {'tau': 0.001, 'tau_domain': 'self._nodes'}}",320,50,73,1.46,0.00,True
